Grain_Type,Temperature,Humidity,Storage_Days,Airflow,Dew_Point,Ambient_Light,Pest_Presence,Grain_Moisture,Rainfall,Spoilage_Class,Hours_To_Spoilage
Wheat,24.8,75.53,324,0.462,20.17,99.9,0.449,16.56,4.4,2,24
Barley,28.62,76.36,426,0.126,24.04,298.3,0.954,13.75,6.8,2,17
Barley,23.66,71.01,238,0.407,18.08,81.3,0.447,15.65,2.2,1,75
Sorghum,17.68,40.98,49,0.978,4.25,21.5,0.14,11.05,1.2,0,537
Rice,39.29,80.21,439,0.001,35.23,104.0,0.781,22.14,26.1,2,2
Wheat,6.73,46.61,68,0.7,-3.9,5.3,0.046,11.79,2.8,0,575
Maize,35.88,89.02,498,0.1,33.78,169.9,0.848,21.02,7.4,2,1
Rice,17.22,58.04,93,0.997,8.89,8.4,0.036,12.44,0.6,0,585
Rice,36.2,80.33,313,0.01,32.25,290.6,0.853,21.55,28.6,2,2
Rice,29.45,73.17,198,0.149,24.13,147.1,0.319,18.74,9.6,2,25
Rice,17.42,56.42,66,0.817,8.66,8.1,0.144,11.52,2.1,0,571
Barley,30.6,75.33,490,0.091,25.72,174.8,0.674,18.91,28.4,2,6
Rice,27.02,72.85,238,0.389,21.72,117.3,0.105,14.42,0.4,1,222
Sorghum,31.25,74.51,194,0.369,26.16,47.9,0.205,13.38,0.6,1,61
Rice,21.17,49.85,73,0.33,10.28,37.5,0.101,11.2,1.0,0,518
Barley,15.85,56.67,163,0.572,7.26,46.2,0.124,9.0,2.4,0,523
Barley,6.16,47.87,143,0.751,-4.06,27.2,0.061,9.58,0.7,0,569
Maize,12.46,55.35,107,0.632,3.76,27.1,0.028,11.2,2.7,0,579
Barley,10.94,63.9,80,0.561,4.37,12.5,0.089,8.28,1.9,0,535
Barley,29.72,82.06,477,0.025,26.32,244.8,0.741,20.33,8.2,2,4
Barley,5.99,54.03,92,0.47,-2.6,21.3,0.142,12.33,0.0,0,521
Barley,10.8,56.88,179,0.895,2.59,35.2,0.017,9.82,0.4,0,499
Maize,14.71,48.18,89,0.524,3.86,30.0,0.032,13.57,2.9,0,515
Maize,21.1,80.31,240,0.26,17.57,22.1,0.205,15.82,7.1,2,79
Maize,10.68,62.56,25,0.898,3.83,11.6,0.057,10.38,2.6,0,574
Sorghum,23.13,44.76,226,0.351,10.46,7.9,0.051,9.06,2.0,0,464
Rice,23.78,60.3,5,0.894,15.62,27.3,0.036,12.32,2.8,0,551
Wheat,6.08,50.1,54,0.47,-3.53,27.4,0.036,10.67,1.6,0,556
Sorghum,26.29,63.5,48,0.315,18.8,24.4,0.062,12.6,0.4,1,392
Maize,29.0,93.48,288,0.131,27.84,129.2,0.75,21.09,27.5,2,3
Barley,38.76,77.97,470,0.042,34.2,223.5,0.932,19.34,11.0,2,5
Rice,25.34,49.81,60,0.505,14.1,40.9,0.047,10.4,1.6,0,560
Rice,18.91,34.76,118,0.645,3.01,48.4,0.018,13.98,0.8,0,509
Maize,35.92,84.15,321,0.188,32.81,188.1,0.66,16.96,6.6,2,4
Barley,26.55,79.21,452,0.144,22.64,274.0,0.871,17.23,13.9,2,19
Barley,31.6,80.47,663,0.145,27.82,249.5,0.521,19.19,6.7,2,5
Sorghum,18.48,44.14,186,0.845,6.04,40.2,0.106,11.59,0.5,0,467
Rice,20.11,56.69,90,0.984,11.24,3.6,0.024,12.43,1.6,0,576
Barley,8.95,53.75,168,0.54,0.08,18.5,0.142,9.58,1.1,0,575
Barley,15.11,70.4,186,0.473,9.76,189.8,0.398,15.67,4.0,1,87
Maize,12.05,56.64,36,0.657,3.7,34.3,0.016,10.74,1.2,0,523
Barley,25.56,86.4,325,0.056,23.11,89.9,0.531,17.03,15.6,2,8
Sorghum,20.54,40.28,88,0.406,6.57,2.9,0.091,10.13,2.7,0,546
Barley,7.0,60.98,177,0.677,-0.01,20.0,0.105,7.38,2.6,0,599
Rice,28.05,69.49,111,0.383,21.93,164.1,0.404,15.0,2.9,1,166
Rice,23.95,60.91,26,0.616,15.94,16.2,0.04,12.38,2.8,0,586
Wheat,25.22,64.8,270,0.494,18.11,17.0,0.206,14.59,5.4,1,180
Barley,22.51,69.84,318,0.393,16.72,149.9,0.394,14.58,5.8,1,85
Barley,12.25,54.6,21,0.781,3.37,31.8,0.031,10.2,3.0,0,507
Rice,24.92,86.5,354,0.315,22.51,37.9,0.353,12.61,9.7,1,56
Sorghum,42.88,85.82,601,0.073,39.98,43.5,0.96,14.5,13.6,2,3
Wheat,29.43,77.91,535,0.162,25.16,12.5,0.382,21.55,24.5,2,7
Rice,38.57,84.68,391,0.015,35.51,143.4,0.556,23.7,24.4,2,2
Wheat,19.29,72.65,293,0.202,14.25,119.2,0.238,13.78,8.4,1,132
Maize,13.88,61.08,77,0.964,6.5,42.5,0.0,10.76,0.1,0,574
Wheat,10.64,44.63,32,0.392,-0.92,43.2,0.028,12.32,1.9,0,548
Sorghum,32.06,78.34,298,0.246,27.8,135.5,0.27,11.59,1.1,1,72
Maize,29.67,86.52,340,0.076,27.17,17.9,0.649,18.62,15.8,2,5
Wheat,10.72,55.54,41,0.868,2.18,21.2,0.107,12.42,1.8,0,537
Rice,27.83,73.76,322,0.114,22.7,185.4,0.259,17.42,5.9,1,62
Barley,26.83,82.51,333,0.163,23.59,152.7,0.842,18.97,7.8,2,9
Sorghum,21.97,47.53,117,0.474,10.3,43.1,0.095,9.72,0.9,0,574
Wheat,16.26,79.5,280,0.488,12.71,30.1,0.44,15.33,8.2,2,72
Barley,11.24,56.56,182,0.951,2.92,12.5,0.047,10.95,0.5,0,489
Maize,37.18,86.2,508,0.093,34.47,31.5,0.919,19.37,27.3,2,1
Maize,14.14,70.41,265,0.173,8.83,89.6,0.166,12.55,8.9,1,167
Maize,19.5,63.15,342,0.407,12.3,58.4,0.201,14.53,3.1,1,243
Maize,24.6,60.78,332,0.489,16.51,48.0,0.355,13.52,2.2,1,165
Rice,19.7,44.94,1,0.676,7.41,31.3,0.058,10.67,2.7,0,501
Maize,5.84,60.94,110,0.493,-1.11,15.0,0.146,9.8,0.3,0,494
Barley,34.58,81.75,396,0.067,30.99,155.3,0.384,14.38,27.2,2,9
Wheat,23.89,74.96,139,0.491,19.17,137.1,0.316,15.93,4.0,1,88
Barley,13.05,52.99,80,0.822,3.69,26.7,0.0,10.0,1.3,0,499
Maize,33.71,86.38,302,0.128,31.11,149.6,0.73,21.03,26.7,2,1
Sorghum,32.0,79.04,718,0.08,27.9,65.0,0.634,18.54,29.0,2,6
Sorghum,29.73,76.04,242,0.435,25.04,139.7,0.212,12.77,0.8,1,89
Sorghum,25.11,53.47,86,0.335,14.98,40.2,0.027,8.09,1.8,0,542
Barley,8.11,43.61,168,0.74,-3.53,4.4,0.127,12.91,0.1,0,502
Sorghum,26.5,71.21,285,0.46,20.85,167.7,0.164,13.16,9.4,1,126
Rice,37.56,85.64,220,0.12,34.73,116.1,0.359,17.23,10.8,2,3
Maize,14.69,52.16,16,0.405,4.98,30.2,0.032,11.33,0.9,0,582
Barley,13.59,59.59,95,0.734,5.87,41.3,0.139,10.0,1.8,0,589
Barley,22.08,71.88,342,0.491,16.76,123.9,0.148,13.18,1.4,1,103
Sorghum,22.66,66.03,147,0.816,15.98,17.5,0.141,7.9,0.1,0,523
Rice,35.49,85.37,214,0.17,32.64,271.6,0.969,21.98,18.8,2,2
Maize,35.41,91.48,248,0.033,33.8,144.5,0.424,23.83,19.0,2,1
Maize,5.69,42.58,98,0.692,-6.04,43.0,0.019,14.45,1.8,0,557
Wheat,25.16,68.99,148,0.464,19.06,12.8,0.29,13.07,2.1,1,197
Rice,35.14,73.32,321,0.299,29.63,149.5,0.448,15.02,5.4,2,23
Rice,20.42,48.19,77,0.872,9.09,0.1,0.107,13.55,0.5,0,514
Rice,31.31,75.68,186,0.429,26.49,12.4,0.137,13.66,9.8,1,110
Barley,31.95,85.57,441,0.195,29.22,207.7,0.397,19.09,12.8,2,2
Maize,6.43,46.22,73,0.887,-4.28,15.0,0.07,11.66,2.0,0,507
Rice,29.46,74.48,341,0.237,24.43,84.8,0.413,14.6,6.7,1,49
Wheat,38.76,74.92,294,0.198,33.49,169.2,0.64,17.32,12.2,2,8
Rice,26.09,70.67,208,0.423,20.33,33.9,0.245,15.86,1.8,1,238
Rice,29.41,69.24,165,0.104,23.17,23.0,0.165,15.43,0.8,1,200
Maize,5.5,61.53,87,0.827,-1.3,34.2,0.097,11.46,0.8,0,515
Maize,18.21,58.08,146,0.135,9.83,66.4,0.379,13.99,5.9,1,182
Rice,22.19,55.75,10,0.562,12.92,25.9,0.102,11.2,1.5,0,522
Wheat,35.95,74.55,387,0.101,30.7,16.8,0.919,17.12,24.7,2,6
Rice,42.15,89.05,421,0.161,39.95,165.0,0.834,19.7,20.4,2,2
Barley,9.77,55.36,24,0.751,1.25,13.3,0.126,7.64,0.4,0,562
Barley,13.08,61.79,157,0.671,5.92,32.5,0.043,11.36,1.4,0,586
Wheat,7.73,52.87,176,0.564,-1.28,21.2,0.105,11.25,1.5,0,584
Rice,30.64,74.33,216,0.302,25.54,104.3,0.147,15.25,5.5,1,121
Wheat,12.99,67.43,38,0.709,7.1,33.3,0.092,10.16,2.8,0,493
Maize,9.8,55.09,123,0.521,1.21,33.4,0.119,13.47,2.5,0,574
Rice,26.14,39.57,28,0.96,11.3,18.1,0.148,10.64,1.6,0,597
Rice,36.61,90.19,357,0.016,34.73,38.3,0.524,17.46,8.2,2,2
Wheat,31.9,78.87,730,0.19,27.76,121.5,0.779,19.92,16.8,2,7
Rice,35.94,92.4,304,0.006,34.51,47.3,0.987,20.56,10.7,2,1
Rice,38.91,80.65,375,0.09,34.96,121.7,0.53,20.4,14.5,2,1
Barley,8.37,55.48,121,0.896,-0.02,15.4,0.091,11.42,0.6,0,534
Maize,14.24,45.54,27,0.743,2.64,6.3,0.027,10.99,0.0,0,572
Wheat,15.91,67.7,166,0.41,9.94,41.8,0.223,16.68,2.5,1,165
Wheat,13.78,73.72,102,0.685,9.17,22.4,0.022,10.65,1.0,0,395
Sorghum,19.03,53.43,245,0.924,9.35,30.5,0.036,10.79,0.1,0,433
Maize,32.08,86.25,498,0.079,29.48,12.5,0.909,20.41,29.3,2,2
Rice,32.42,70.89,287,0.205,26.44,149.2,0.33,17.68,7.7,1,35
Wheat,34.45,83.48,366,0.131,31.23,91.0,0.46,17.34,25.5,2,6
Rice,27.26,72.72,351,0.296,21.92,41.8,0.447,15.49,3.7,1,70
Rice,40.84,88.46,208,0.147,38.54,277.9,0.854,22.22,15.4,2,2
Rice,33.36,79.09,269,0.278,29.23,45.4,0.182,16.03,2.3,1,52
Maize,16.5,75.83,338,0.169,12.22,105.3,0.274,16.7,8.1,1,59
Sorghum,24.7,44.52,47,0.641,11.79,20.7,0.093,9.6,3.0,0,507
Maize,38.51,79.7,211,0.1,34.36,139.9,0.898,21.55,14.3,2,4
Maize,10.06,49.3,100,0.99,-0.08,4.9,0.015,12.67,1.4,0,587
Rice,20.13,57.33,63,0.713,11.42,16.6,0.07,11.67,2.6,0,516
Barley,13.07,67.7,259,0.408,7.23,97.8,0.203,15.23,5.0,1,302
Sorghum,15.15,51.66,105,0.931,5.27,6.7,0.101,11.46,1.7,0,540
Rice,15.82,79.93,63,0.979,12.36,17.9,0.032,8.95,1.4,0,364
Barley,7.83,51.75,54,0.327,-1.48,48.2,0.049,10.16,1.7,0,572
Sorghum,19.34,62.67,116,0.735,12.03,18.6,0.121,9.08,1.8,0,520
Barley,18.08,51.2,72,0.974,7.84,18.2,0.115,9.77,1.7,0,550
Barley,32.7,87.85,525,0.084,30.41,83.8,0.499,18.75,12.0,2,3
Maize,11.72,62.09,17,0.659,4.7,11.9,0.057,10.79,1.8,0,593
Barley,12.88,66.47,76,0.422,6.78,0.7,0.032,10.12,1.1,0,530
Maize,32.53,83.89,191,0.195,29.44,32.1,0.604,21.34,17.5,2,3
Rice,39.51,85.57,433,0.16,36.62,73.5,0.682,18.76,13.1,2,2
Sorghum,36.44,75.13,730,0.135,31.3,146.6,0.995,18.49,24.7,2,4
Barley,19.91,68.38,187,0.419,13.91,122.1,0.202,14.02,3.1,1,324
Barley,31.15,79.63,293,0.112,27.2,138.3,0.649,19.4,10.7,2,9
Wheat,6.04,61.11,42,0.961,-0.88,43.4,0.018,10.77,2.7,0,542
Sorghum,18.54,62.9,248,0.314,11.33,33.2,0.082,10.47,1.5,0,451
Maize,31.93,84.1,193,0.027,28.9,186.6,0.601,21.9,9.0,2,4
Sorghum,28.25,71.95,474,0.401,22.7,29.3,0.431,13.17,7.1,1,52
Maize,19.73,80.27,286,0.256,16.23,133.8,0.241,15.1,4.0,2,81
Wheat,23.81,84.01,203,0.203,20.94,87.6,0.268,13.0,1.5,1,95
Maize,11.8,58.93,29,0.882,4.03,46.1,0.043,12.58,0.5,0,568
Barley,22.05,74.06,375,0.277,17.21,181.3,0.367,12.17,1.1,1,67
Wheat,28.62,71.39,217,0.185,22.92,29.1,0.149,16.12,7.2,1,27
Barley,22.73,72.36,158,0.119,17.49,158.6,0.461,14.21,0.8,1,81
Barley,6.11,58.51,25,0.905,-1.41,23.5,0.028,12.93,0.4,0,500
Maize,15.38,70.28,102,0.48,9.99,157.8,0.198,14.71,2.3,1,251
Maize,32.49,86.27,436,0.06,29.89,228.6,0.543,18.36,27.0,2,2
Barley,7.44,52.22,99,0.842,-1.72,36.5,0.133,10.83,2.5,0,492
Barley,32.91,79.21,466,0.184,28.82,28.1,0.816,21.35,22.8,2,5
Rice,38.33,84.58,407,0.132,35.26,114.3,0.989,20.49,21.5,2,2
Rice,26.59,76.19,186,0.406,22.04,12.9,0.213,15.32,6.4,1,198
Sorghum,39.12,72.34,730,0.171,33.2,12.6,0.797,15.83,26.5,2,7
Rice,35.77,88.95,218,0.119,33.65,17.8,0.515,21.51,24.3,2,2
Maize,9.39,71.7,46,0.536,4.54,7.9,0.057,11.9,0.3,0,388
Barley,18.3,69.19,188,0.265,12.55,157.0,0.173,15.12,1.9,1,178
Wheat,33.26,87.0,510,0.179,30.79,237.3,0.936,15.73,23.1,2,5
Maize,13.02,55.08,25,0.799,4.21,34.5,0.054,10.76,1.2,0,554
Maize,9.01,58.98,79,0.48,1.42,1.0,0.029,11.68,0.7,0,591
Barley,11.71,43.72,4,0.677,-0.23,10.2,0.032,12.98,2.3,0,515
Rice,37.36,83.32,377,0.0,34.04,230.1,0.896,18.98,27.6,2,3
Maize,13.04,78.64,116,0.123,9.41,103.3,0.278,12.85,9.4,0,192
Wheat,13.77,65.32,408,0.477,7.38,41.3,0.208,16.31,8.4,1,205
Maize,8.41,75.26,32,0.95,4.29,30.5,0.138,8.94,0.6,0,410
Maize,23.7,67.03,181,0.17,17.21,15.7,0.383,13.1,3.7,1,88
Rice,25.15,75.8,125,0.147,20.57,186.2,0.278,16.8,4.9,1,90
Barley,11.96,57.89,23,0.446,3.93,6.8,0.126,11.86,1.7,0,534
Maize,9.38,61.18,3,0.481,2.28,12.9,0.061,12.38,2.8,0,502
Sorghum,26.04,77.31,513,0.349,21.75,96.6,0.182,14.15,7.6,2,102
Sorghum,33.78,67.37,220,0.166,26.87,20.7,0.148,15.75,5.9,1,70
Wheat,14.48,76.55,281,0.459,10.41,97.6,0.287,17.01,3.7,2,102
Rice,15.06,60.13,118,0.41,7.38,9.9,0.075,13.03,0.8,0,567
Maize,35.86,92.63,529,0.186,34.47,230.8,0.764,20.85,19.7,2,1
Wheat,19.89,68.25,274,0.412,13.86,151.9,0.35,13.67,7.1,1,190
Maize,5.08,58.47,125,0.386,-2.39,41.8,0.022,12.15,1.7,0,528
Barley,30.98,82.01,298,0.189,27.54,67.5,0.864,20.54,23.7,2,4
Maize,8.65,59.34,19,0.417,1.17,7.7,0.127,8.51,1.3,0,499
Wheat,14.1,69.33,513,0.295,8.57,50.7,0.38,15.93,7.7,1,163
Maize,9.91,65.92,125,0.432,3.84,29.6,0.089,12.91,0.7,0,546
Sorghum,30.69,81.47,450,0.36,27.14,56.8,0.342,12.22,0.9,2,22
Rice,21.23,60.11,103,0.931,13.18,11.6,0.053,13.06,0.3,0,541
Maize,19.22,69.73,171,0.214,13.55,35.4,0.302,12.42,5.2,1,239
Maize,3.85,53.29,53,0.822,-4.78,19.5,0.093,10.41,0.0,0,533
Barley,30.36,87.74,287,0.147,28.09,269.1,0.614,17.24,14.6,2,5
Wheat,16.04,71.99,183,0.469,10.99,178.8,0.141,13.41,3.5,1,224
Maize,33.89,85.08,308,0.078,31.02,119.4,0.926,20.41,7.5,2,1
Rice,19.96,58.25,122,0.812,11.51,12.4,0.067,10.24,2.0,0,586
Sorghum,21.87,43.47,58,0.819,8.88,45.1,0.13,11.39,0.6,0,529
Wheat,29.29,73.57,311,0.189,24.06,39.7,0.715,21.43,22.1,2,6
Barley,8.08,52.68,63,0.64,-1.0,43.9,0.111,12.18,0.1,0,515
Barley,20.36,79.48,226,0.21,16.69,49.0,0.459,15.13,1.4,2,36
Rice,39.1,79.6,271,0.173,34.91,281.9,0.406,18.99,17.0,2,6
Barley,11.81,51.04,165,0.462,2.01,16.2,0.035,12.26,0.0,0,582
Maize,33.68,77.3,321,0.163,29.14,32.5,0.775,18.89,11.5,2,6
Sorghum,19.71,74.71,82,0.854,15.09,30.4,0.098,7.63,1.6,0,402
Maize,21.08,72.45,94,0.188,15.93,161.7,0.261,16.3,4.1,1,88
Sorghum,36.76,66.71,202,0.104,29.53,49.7,0.31,15.67,4.8,2,13
Barley,24.39,71.66,314,0.275,18.93,19.2,0.309,12.37,4.5,1,64
Barley,20.29,68.7,408,0.499,14.34,58.6,0.493,13.51,5.0,1,99
Barley,8.56,54.92,134,0.314,0.01,12.5,0.091,9.77,0.6,0,502
Maize,9.41,64.77,59,0.521,3.11,46.3,0.005,8.37,1.5,0,554
Wheat,11.48,59.1,60,0.682,3.77,41.4,0.041,9.49,1.9,0,547
Wheat,25.17,77.36,281,0.23,20.92,136.1,0.174,13.47,0.2,2,123
Maize,16.81,68.57,91,0.287,10.99,44.4,0.341,14.66,1.9,1,249
Maize,24.99,76.28,93,0.148,20.52,185.5,0.424,14.16,2.1,1,67
Wheat,9.32,44.0,82,0.895,-2.31,33.6,0.075,13.16,0.6,0,556
Sorghum,18.71,52.76,31,0.884,8.86,2.7,0.134,10.25,2.3,0,507
Sorghum,31.74,67.19,531,0.452,24.89,197.3,0.405,16.91,5.6,2,41
Wheat,9.29,58.32,52,0.582,1.53,13.0,0.09,8.84,1.1,0,500
Sorghum,19.53,58.88,173,0.771,11.27,12.4,0.148,8.72,2.5,0,539
Wheat,11.5,46.17,80,0.393,0.33,25.8,0.044,7.81,0.6,0,515
Rice,18.4,51.74,1,0.962,8.29,29.0,0.028,13.3,0.8,0,553
Rice,37.01,89.73,422,0.112,35.03,226.3,0.641,21.51,14.3,2,1
Wheat,34.35,79.06,668,0.071,30.18,87.1,0.916,17.43,7.8,2,9
Wheat,8.05,54.45,146,0.845,-0.58,35.4,0.13,11.29,1.2,0,589
Barley,10.21,71.69,99,0.595,5.33,7.1,0.06,10.0,2.6,0,364
Sorghum,39.56,75.68,475,0.037,34.44,145.5,0.676,17.7,16.3,2,5
Wheat,14.57,77.66,144,0.457,10.71,12.8,0.104,15.52,7.7,1,240
Sorghum,21.7,48.83,12,0.557,10.46,36.2,0.137,13.25,1.6,0,537
Barley,33.3,80.82,473,0.151,29.54,107.1,0.812,19.4,13.2,2,5
Barley,4.49,60.49,86,0.567,-2.49,31.2,0.037,9.72,1.3,0,548
Maize,14.63,45.43,89,0.71,2.96,3.3,0.149,14.16,0.9,0,563
Wheat,17.94,65.7,147,0.42,11.42,93.6,0.486,13.8,3.5,1,236
Maize,8.49,56.32,89,0.397,0.3,14.0,0.033,11.68,2.1,0,554
Wheat,33.12,79.15,359,0.085,29.01,237.5,0.361,20.3,6.8,2,5
Sorghum,23.98,63.32,343,0.141,16.57,22.0,0.197,13.14,9.6,0,208
Sorghum,28.66,61.67,480,0.47,20.56,51.5,0.313,13.08,0.0,1,113
Barley,5.71,53.49,55,0.37,-3.0,13.6,0.029,11.01,1.8,0,577
Barley,20.75,73.98,361,0.238,15.94,143.7,0.391,15.18,3.1,2,28
Maize,20.48,79.43,262,0.326,16.79,178.3,0.176,18.19,7.1,2,77
Wheat,11.4,59.56,48,0.749,3.81,43.9,0.115,10.81,2.5,0,500
Maize,19.46,74.24,131,0.177,14.75,167.4,0.415,16.78,6.3,1,54
Rice,24.99,47.14,119,0.809,12.93,23.5,0.07,12.97,0.2,0,493
Maize,8.76,55.97,12,0.735,0.46,2.1,0.088,7.01,1.8,0,515
Wheat,9.62,49.25,98,0.595,-0.5,47.4,0.099,13.23,2.0,0,505
Wheat,11.09,49.67,122,0.865,0.97,27.8,0.035,11.03,2.1,0,558
Barley,34.14,76.81,287,0.112,29.47,7.8,0.896,19.23,18.3,2,8
Maize,17.55,72.99,290,0.444,12.65,112.6,0.474,13.11,3.3,1,134
Barley,20.71,62.38,423,0.232,13.25,160.2,0.347,13.13,3.1,1,99
Sorghum,17.7,52.08,25,0.451,7.74,11.2,0.044,10.73,2.3,0,571
Wheat,34.88,77.22,730,0.055,30.28,131.4,0.796,18.38,14.4,2,7
Wheat,20.04,71.86,228,0.288,14.8,166.2,0.45,17.4,4.8,1,28
Maize,36.83,91.52,194,0.182,35.21,1.6,0.475,20.5,21.0,2,1
Wheat,20.88,72.29,451,0.318,15.7,52.2,0.442,13.28,9.3,1,67
Rice,23.06,64.48,41,0.635,15.99,14.7,0.039,12.86,0.4,0,596
Wheat,21.01,78.09,181,0.364,17.04,197.3,0.203,14.48,6.9,1,115
Sorghum,33.93,67.3,466,0.221,26.99,163.8,0.239,12.2,3.0,1,83
Barley,17.16,70.23,252,0.405,11.69,39.8,0.488,12.01,7.5,1,151
Barley,13.56,67.38,355,0.248,7.63,197.8,0.411,12.83,5.2,1,156
Wheat,22.87,74.37,276,0.137,18.06,126.7,0.476,13.77,2.3,1,64
Barley,30.58,82.97,390,0.07,27.35,10.4,0.392,16.7,7.3,2,6
Rice,40.17,91.59,429,0.104,38.53,90.8,0.845,24.67,10.1,2,1
Barley,21.93,72.71,413,0.397,16.8,123.9,0.457,14.71,5.7,1,72
Rice,21.21,56.25,79,0.78,12.14,40.2,0.135,13.0,0.9,0,581
Barley,28.58,78.96,503,0.076,24.56,68.1,0.792,20.27,14.5,2,7
Sorghum,33.62,74.57,407,0.441,28.46,156.8,0.272,13.35,7.6,1,56
Maize,27.52,86.42,427,0.001,25.04,227.6,0.524,24.27,16.6,2,4
Sorghum,28.82,69.69,422,0.142,22.71,138.8,0.381,11.97,2.4,1,103
Wheat,20.05,68.98,163,0.256,14.18,65.6,0.165,14.72,3.1,1,227
Barley,29.39,83.98,273,0.081,26.39,94.0,0.975,16.09,25.0,2,13
Maize,16.6,79.39,349,0.103,13.02,16.2,0.102,11.73,1.1,1,137
Sorghum,30.95,71.21,229,0.468,25.11,165.6,0.25,14.01,6.7,1,67
Sorghum,20.84,47.61,151,0.713,9.3,30.0,0.068,10.4,2.9,0,509
Maize,32.05,85.43,239,0.057,29.29,52.8,0.916,19.76,26.1,2,3
Sorghum,27.31,74.07,409,0.233,22.27,66.8,0.424,13.71,3.5,1,66
Rice,44.53,83.88,469,0.044,41.16,241.3,0.399,23.9,9.5,2,2
Rice,31.9,75.18,304,0.07,26.94,51.0,0.65,18.81,16.9,2,6
Rice,17.05,57.26,11,0.749,8.53,14.6,0.099,11.83,0.4,0,576
Barley,30.4,77.75,495,0.038,26.06,257.5,0.81,21.9,23.2,2,5
Wheat,7.96,50.91,75,0.734,-1.58,32.3,0.115,10.93,1.8,0,525
Rice,20.41,60.36,33,0.667,12.47,16.3,0.089,12.49,2.0,0,540
Maize,15.33,68.77,273,0.17,9.62,45.2,0.326,13.49,2.5,1,165
Wheat,13.21,65.2,279,0.458,6.82,166.9,0.368,14.27,2.0,1,201
Maize,36.3,79.01,405,0.12,32.06,142.6,0.766,15.25,29.2,2,7
Maize,13.05,56.01,111,0.654,4.48,36.7,0.136,11.39,0.1,0,520
Wheat,9.35,61.26,157,0.396,2.27,41.2,0.021,11.83,1.3,0,536
Maize,24.23,66.19,218,0.31,17.51,160.4,0.399,14.89,5.9,1,111
Maize,12.14,44.51,1,0.708,0.41,29.0,0.051,11.73,1.9,0,553
Maize,16.38,75.79,197,0.226,12.09,129.6,0.393,14.63,6.6,1,87
Sorghum,17.71,73.2,28,0.982,12.85,19.1,0.045,7.21,1.1,0,394
Maize,8.7,72.57,67,0.638,4.05,20.4,0.079,9.89,0.5,0,360
Maize,32.49,85.68,374,0.022,29.77,8.1,0.864,21.37,14.5,2,2
Rice,30.41,80.29,228,0.278,26.62,108.7,0.486,16.04,9.7,2,11
Rice,30.43,69.01,229,0.425,24.09,18.5,0.26,14.51,3.8,1,181
Rice,42.98,83.53,233,0.012,39.57,101.6,0.952,22.51,18.4,2,2
Sorghum,39.09,75.84,512,0.009,34.02,127.6,0.766,16.35,11.7,2,5
Sorghum,30.31,70.04,281,0.255,24.22,158.0,0.333,14.89,8.0,1,43
Maize,13.84,48.3,81,0.454,3.1,11.4,0.084,10.01,2.7,0,581
Wheat,9.16,48.88,102,0.323,-1.03,14.9,0.069,11.09,3.0,0,545
Maize,11.05,44.21,76,0.846,-0.67,42.8,0.123,11.55,1.6,0,571
Maize,11.24,56.75,20,0.646,2.97,14.2,0.064,10.45,0.7,0,497
Sorghum,31.16,79.64,184,0.204,27.21,123.3,0.198,16.93,7.0,2,22
Wheat,20.94,67.96,225,0.296,14.8,97.9,0.109,14.07,4.8,1,180
Wheat,19.9,68.45,481,0.307,13.91,78.8,0.167,16.15,9.1,2,109
Maize,6.15,48.15,113,0.579,-4.0,44.6,0.057,11.18,1.5,0,528
Sorghum,28.78,68.82,494,0.456,22.47,102.4,0.155,11.68,4.2,1,193
Maize,23.59,79.73,143,0.333,19.88,44.3,0.239,16.57,6.6,1,111
Barley,17.58,71.22,329,0.414,12.3,65.6,0.137,14.62,3.6,1,97
Wheat,30.91,81.0,273,0.168,27.26,222.6,0.885,17.89,26.2,2,9
Sorghum,37.19,78.35,445,0.139,32.77,24.6,0.864,15.96,9.9,2,7
Maize,33.76,80.92,498,0.091,30.01,187.3,0.698,19.64,17.7,2,5
Rice,29.5,76.04,198,0.453,24.82,44.4,0.486,13.51,8.8,1,114
Barley,13.1,71.54,65,0.749,8.07,34.4,0.132,11.72,1.6,0,406
Barley,18.89,70.71,195,0.482,13.45,67.9,0.443,14.6,5.3,1,85
Wheat,10.73,51.1,80,0.571,1.03,4.3,0.014,12.03,0.4,0,508
Sorghum,17.52,49.48,237,0.717,6.82,38.1,0.124,12.61,2.5,0,424
Rice,11.42,60.12,124,0.852,3.96,3.4,0.102,10.11,1.4,0,494
Maize,13.79,58.1,5,0.551,5.69,40.9,0.018,11.63,1.8,0,511
Rice,21.66,46.73,97,0.478,9.77,45.4,0.149,13.82,1.7,0,497
Barley,13.45,65.16,178,0.755,7.04,43.7,0.11,10.28,0.6,0,566
Barley,15.56,61.45,164,0.723,8.17,14.8,0.065,9.73,3.0,0,537
Barley,25.78,71.72,168,0.369,20.28,165.9,0.131,14.6,0.1,1,149
Barley,10.75,54.57,31,0.845,1.96,8.1,0.04,7.0,0.2,0,516
Sorghum,19.41,50.63,17,0.479,8.9,49.2,0.148,8.14,3.0,0,540
Wheat,8.55,73.25,27,0.988,4.04,12.3,0.046,12.89,2.7,0,420
Barley,7.82,67.07,116,0.454,2.09,18.6,0.044,11.66,2.5,0,562
Maize,7.6,52.83,92,0.804,-1.41,24.2,0.15,13.4,2.7,0,552
Barley,17.89,72.07,141,0.486,12.78,177.1,0.251,15.03,8.8,1,143
